PARTNER_codes;PARTNER_Labels
0001;France
0003;Netherlands
0004;Germany
0005;Italy
0006;United Kingdom
0007;Ireland
0008;Denmark
0009;Greece
0010;Portugal
0011;Spain
0017;Belgium
0018;Luxembourg
0021;Ceuta
0023;Melilla
0024;Iceland
0028;Norway
0030;Sweden
0032;Finland
0037;Liechtenstein
0038;Austria
0039;Switzerland
0041;Faroe Islands
0043;Andorra
0044;Gibraltar
0045;Holy See (Vatican City State)
0046;Malta
0047;San Marino
0052;Türkiye
0053;Estonia
0054;Latvia
0055;Lithuania
0060;Poland
0061;Czechia
0063;Slovakia
0064;Hungary
0066;Romania
0068;Bulgaria
0070;Albania
0072;Ukraine
0073;Belarus
0074;Moldova
0075;Russia
0076;Georgia
0077;Armenia
0078;Azerbaijan
0079;Kazakhstan
0080;Turkmenistan
0081;Uzbekistan
0082;Tadjikistan
0083;Kyrgyzystan
0091;Slovenia
0092;Croatia
0093;Bosnia and Herzegovina
0094;Serbia and Montenegro
0095;Kosovo
0096;North Macedonia
0097;Montenegro
0098;Serbia
0204;Morocco
0208;Algeria
0212;Tunisia
0216;Libya
0220;Egypt
0224;Sudan
0225;South Sudan
0228;Mauritania
0229;Western Sahara
0232;Mali
0236;Burkina Faso
0240;Niger
0244;Chad
0247;Cape Verde
0248;Senegal
0252;Gambia
0257;Guinea-Bissau
0260;Guinea
0264;Sierra Leone
0268;Liberia
0272;Côte d'Ivoire
0276;Ghana
0280;Togo
0284;Benin
0288;Nigeria
0302;Cameroon
0306;Central African Republic
0310;Equatorial Guinea
0311;Sao Tome and Principe
0314;Gabon
0318;Congo
0322;Congo,  Democratic Republic of
0324;Rwanda
0328;Burundi
0329;St Helena, Ascension and Tristan da Cunha
0330;Angola
0334;Ethiopia
0336;Eritrea
0338;Djibouti
0342;Somalia
0346;Kenya
0350;Uganda
0352;Tanzania
0355;Seychelles
0357;British Indian Ocean Territory
0366;Mozambique
0370;Madagascar
0373;Mauritius
0375;Comoros
0377;Mayotte
0378;Zambia
0382;Zimbabwe
0386;Malawi
0388;South Africa
0389;Namibia
0391;Botswana
0393;Eswatini
0395;Lesotho
0400;United States
0404;Canada
0406;Greenland
0408;St Pierre and Miquelon
0412;Mexico
0413;Bermuda
0416;Guatemala
0421;Belize
0424;Honduras
0428;El Salvador
0432;Nicaragua
0436;Costa Rica
0442;Panama
0446;Anguilla
0448;Cuba
0449;St Kitts and Nevis
0452;Haiti
0453;Bahamas
0454;Turks and Caicos islands
0456;Dominican Republic
0457;Virgin Islands, United States
0459;Antigua and Barbuda
0460;Dominica
0463;Cayman islands
0464;Jamaica
0465;St Lucia
0466;Saint Barthélemy
0467;St Vincent and the Grenadines
0468;Virgin Islands, British
0469;Barbados
0470;Montserrat
0472;Trinidad and Tobago
0473;Grenada
0474;Aruba
0475;Curaçao
0477;Bonaire, Sint Eustatius and Saba
0478;Netherlands Antilles
0479;Sint Maarten (Dutch part)
0480;Colombia
0484;Venezuela, Bolivarian Republic of
0488;Guyana
0492;Suriname
0500;Ecuador
0504;Peru
0508;Brazil
0512;Chile
0516;Bolivia
0520;Paraguay
0524;Uruguay
0528;Argentina
0529;Falkland Islands (Malvinas)
0600;Cyprus
0604;Lebanon
0608;Syrian Arab Republic
0612;Iraq
0616;Iran, Islamic Republic of
0624;Israel
0625;Occupied palestinian Territory
0626;Timor-Leste
0628;Jordan
0632;Saudi Arabia
0636;Kuwait
0640;Bahrain
0644;Qatar
0647;United Arab Emirates
0649;Oman
0653;Yemen
0660;Afghanistan
0662;Pakistan
0664;India
0666;Bangladesh
0667;Maldives
0669;Sri Lanka
0672;Nepal
0675;Bhutan
0676;Myanmar
0680;Thailand
0684;Lao Peoples Democratic Republic
0690;Viet Nam
0696;Cambodia
0700;Indonesia
0701;Malaysia
0703;Bruneï Darussalam
0706;Singapore
0708;Philippines
0716;Mongolia
0720;China
0724;Korea,  Democratic People's Republic of
0728;Korea,  Republic of
0732;Japan
0736;Taiwan
0740;Hong Kong
0743;Macao
0800;Australia
0801;Papua New Guinea
0802;Australian Oceania
0803;Nauru
0804;New Zealand
0806;Solomon Islands
0807;Tuvalu
0809;New Caledonia
0810;American Oceania
0811;Wallis and Futuna
0812;Kiribati
0813;Pitcairn
0814;New Zealand Oceania
0815;Fiji
0816;Vanuatu
0817;Tonga
0819;Samoa
0820;Northern Mariana Islands
0822;French Polynesia
0823;Micronesia,  Federated States of
0824;Marshall islands
0825;Palau
0830;American Samoa
0831;Guam
0832;United States Minor Outlying islands
0833;Cocos Islands (or Keeling Islands)
0834;Christmas Island
0835;Heard Island and McDonald Islands
0836;Norfolk Island
0837;Cook Islands
0838;Niue
0839;Tokelau
0890;Polar Region
0891;Antarctica
0892;Bouvet Island
0893;South Georgia and South Sandwich Islands
0894;French Southern Territories